engine_size,horsepower,mileage,age,weight,brand,fuel_type,price
2.1697186650478906,112.5459257056533,52464.057542971,8.365402316366147,1577.0062905662742,,Diesel,30068.75695269944
2.058948737169035,127.90357926522049,50856.10114555676,3.9583094111564794,1576.9652341742683,,Hybrid,31412.183754547368
1.9728202244421922,,55512.77267679964,4.509092209774168,1475.9394358437594,Honda,Petrol,26616.077968194528
2.806695686408761,127.008347869802,48321.57398963454,2.048558740347342,1195.0604687272655,Ford,Petrol,31360.432280249795
1.3589845415595068,110.71313480773807,52531.71099103205,4.81818170072606,2055.235343380914,,Petrol,21569.05426028649
1.6977989359425767,,47549.72956253795,5.31685534974795,1609.6851301580523,Ford,Diesel,31764.652109420542
1.2342203339223214,125.08215402562696,68067.94989183037,3.281746228508776,1461.6389399012046,Ford,Diesel,21982.551532331698
2.388858739153873,,68146.00614432507,6.0911288811995234,1653.4758470650595,,Diesel,28931.140437920207
2.182282227147787,,69329.04466429673,4.724644074433857,940.1577656448936,Honda,Petrol,39331.403517530496
1.553089062284873,,83958.6939478546,3.4427740423893622,1148.0757278933308,Toyota,Petrol,28130.874591335465
1.642707418175428,174.48033376697992,49540.49107466719,9.415589636418566,1233.0162782259756,Honda,Petrol,26057.21248128055
1.5671450133289502,,56651.292271306294,3.8321001400938766,1611.9344505315917,Ford,Petrol,29153.452172035293
2.642493122204349,,54061.36897554838,4.22945371861627,1458.7694003306697,BMW,Diesel,39330.6322455998
2.009399478993093,78.01405794549493,32001.743212333276,6.368374955839823,1617.9784851308086,Toyota,Petrol,22901.768248652876
2.0947777209158964,,80224.23143901367,3.485165466211247,1899.4584942130762,Honda,Petrol,31716.794176074596
2.361570219160309,82.88690044987015,94695.31084176638,6.894974771379063,1046.5371528731546,BMW,Hybrid,24368.129168527048
0.9663612870868878,176.90203711607361,55774.48981151485,6.328734000638373,1223.429609342823,BMW,Petrol,29609.507537178713
2.282918553717963,152.64126662893176,83901.98185263484,1.5473228603656408,1504.2677287865183,,Hybrid,32987.22294582167
2.9902669814980656,227.6473270137419,56603.64174718391,6.104344606699774,1552.9274800049136,Ford,Petrol,42584.230064249095
2.0791613299037075,,53860.60975231807,1.74895641223458,1281.5218545231282,,Hybrid,26439.431109268062
,,20681.212112316323,5.216476239377027,1165.8838062759758,,Hybrid,30523.241702443403
2.096944861701046,158.87791024888784,38888.15234569995,6.799194674362374,1457.7288872361348,BMW,Diesel,37376.52387562715
,139.11388023921785,50269.170933140165,3.671140583519107,1467.8359911174146,Honda,Diesel,32230.39486872327
,,18717.17619330497,5.077545770061139,1444.7633193104407,,Diesel,21626.823945525022
1.0933201837797257,101.06827364200365,81461.90093573504,3.1204521855263216,1306.0517112898563,,Diesel,24556.251312435255
,155.48052332770092,59519.06787434352,7.017723282264879,1201.339935869094,Ford,Diesel,25908.259578727433
1.5803723529140212,122.84736926705051,47895.06369227561,5.393564439493931,1958.5055651651026,Honda,Diesel,26576.87865242738
,168.35365023554118,61062.8792301401,1.9365786128019509,1779.4410402933368,,Diesel,35743.26098807981
2.24353701235365,,60175.80905353924,2.669656590491288,1730.9073507193075,Toyota,Hybrid,36788.068709872015
,,78529.40495093618,4.127722154842264,1307.0365141932273,Ford,Hybrid,32811.604587370035
1.046026400480748,100.329778969367,82790.50397760369,6.067656130566041,2144.643888045397,BMW,Hybrid,23176.136763853236
0.8508633191252013,118.58079027229022,25954.802637576213,7.365585848422381,1714.9534009341512,BMW,Diesel,23459.04540970576
1.704053090400354,173.68706689306904,107064.29236750437,8.9137510854409,1441.6030674059361,Honda,Diesel,23799.590129373257
1.2109296103188265,156.0154199642315,68840.09773693769,5.43214814212428,1190.7483123191555,Honda,Hybrid,26638.563142778734
0.8426221110810712,178.10212499645783,42187.457498833624,3.7445557458000343,1514.6017325364323,Ford,Petrol,27453.523698159126
2.1768674539065307,,50407.50712102814,5.202917363095487,1219.6129936585335,Ford,Petrol,24213.497939348803
2.9673529139278867,176.1227580400194,93247.74288563881,4.589510688630825,1452.2925016590889,Honda,Petrol,32804.920020279314
1.319788657277285,148.58304407505605,82866.22167565883,4.820343003579614,1625.569838349287,,Hybrid,32514.089825160067
,165.0821843303122,60558.113082099255,4.526807867741182,2204.3900826840772,Honda,Petrol,32122.729106959618
,146.6371183275297,93601.40989437228,5.558693195617428,1280.9520973888261,Ford,Petrol,26650.864902821882
1.8904761032889406,,42269.26307349615,4.88602418194248,1313.2470293691447,Honda,Petrol,37621.19021874634
1.229910296670821,190.76732704216613,75574.31746388203,9.867156367905697,1692.413662283887,,Hybrid,27464.746690788794
1.1095605335095986,141.19360700403615,42343.98249427945,4.7564037012970015,1682.7030749888127,Toyota,Diesel,28300.594380354127
1.2572072318129668,109.63194257746841,79572.54923440258,4.641076952443797,2052.766353624434,Toyota,Hybrid,24168.232447207512
,,17833.62754982547,5.2704914626818775,1387.5785959104207,Honda,Hybrid,37453.38482155882
2.2325301902754564,140.01190750495587,43453.68263594562,3.8425930505721304,1025.726265545124,BMW,Diesel,33270.179597863076
2.105650699274877,152.5682095958222,69400.58999295864,6.147182833698025,1658.89168815986,Toyota,Petrol,28034.54570730429
2.233181562220628,,73503.9812615642,6.048429484938817,1621.925049413934,,Diesel,33650.81629660357
,,61381.79617800629,1.5414896769569189,1133.857184748122,Toyota,Hybrid,38272.01940679491
