engine_size,horsepower,mileage,age,weight,fuel_type,brand_BMW,brand_Ford,brand_Honda,brand_Toyota,price
-1.32477134128179,-0.40422745101037116,0.3499829482381729,0.5342642034337447,0.5095018929451837,2.0,1,0,0,0,35960.05395552575
-1.1643630463206925e-15,2.1283056350931355,0.5670839615879255,0.5782599696755406,0.5742712698794022,2.0,0,0,1,0,39047.55776670063
0.49334198418404457,-1.6810969488956662,0.6207947551148818,0.6386979756822401,0.3499779865413457,1.0,0,0,1,0,26891.109458441308
0.7006141876800118,-0.4766610020772376,0.36633784479683806,0.6442269655498648,0.662146454767676,1.0,1,0,0,0,35643.21952283165
-1.1643630463206925e-15,0.0,0.5698118288164805,0.46352693451756,0.446839760123918,2.0,0,0,1,0,38169.37518675023
0.4429041751745201,1.4535429980091192,0.5490781033774059,0.24703609164707072,0.4781862327450688,2.0,1,0,0,0,43985.8065021801
-0.03801960740121148,-0.2960504496599605,0.7598770996556451,0.483155792196982,0.3980770235644234,1.0,0,0,1,0,26891.63748558918
-0.7279859139141487,-0.6354274882008766,0.4684625422999754,0.359134013519793,0.46479251565697954,1.0,1,0,0,0,36028.92256615521
-0.5739126342564028,0.0017859185963082682,0.3880589102953214,0.7488390816606846,0.2982077992657033,0.0,0,0,0,1,26517.669504735135
-1.1643630463206925e-15,0.011887094680776346,0.3155759335150456,0.640973536292377,0.5397664756118533,1.0,0,1,0,0,26547.764618037756
-0.2622434961353208,0.4834076553943248,0.6022318335871857,0.23055496192309483,0.5164832078775887,1.0,0,0,1,0,40528.955171815716
-1.0365636597040901,0.0,0.47776989843331896,0.76411518236842,0.5876974681896523,0.0,0,0,1,0,24605.18060080741
-1.8028645381014579,0.8490023046202182,0.4834907029765517,0.1922958727057154,0.45725871888835934,2.0,0,0,1,0,36710.20832080622
1.518729525831643,0.0,0.4938368988718565,0.464467855073075,0.5953392623917548,0.0,0,0,0,1,33256.11527865454
-1.459249340287621,-1.2805128109797665,0.4724666512113239,0.7881119857153732,0.512083587769795,0.0,0,0,0,1,20976.41485899927
1.6161479000121537,-0.41369106140531653,0.45718744823891994,0.25943883236761883,0.6632336433402592,0.0,0,0,1,0,39173.6426832683
-0.5123831936381359,-1.211059451566187,0.48202370704377084,0.31753369217534433,0.18151909609582034,0.0,0,0,0,1,26120.728955653893
-1.1643630463206925e-15,0.6607973026337983,0.7554539721398071,0.3593172751955884,0.628058646719853,2.0,0,0,1,0,33002.03304962818
-2.163522811248614,-0.4809206994375229,0.4406080477661239,0.3996675840917425,0.37546815828882474,1.0,1,0,0,0,32434.225530653905
-0.06341340045248901,-1.2525317736041806,0.6551645366079437,0.31668412845472127,0.2978576192953547,1.0,0,0,1,0,26954.186920413904
-1.0079936763206563,-1.5276217751888603,0.31277462630629893,0.44232360980896535,0.6696455592491808,0.0,0,0,1,0,27032.346773404162
-0.14509615039713458,-1.3525098445354031,0.6341606005787652,0.500004551147948,0.44839413882460855,1.0,0,1,0,0,26892.30602538119
-1.1643630463206925e-15,-0.4618305511185575,0.5021178229853157,0.5755663511208782,0.37372807996786517,1.0,0,0,1,0,28751.993305648433
0.9375234136429966,-0.7701844778205698,0.6406615424085462,0.5393573906954942,0.30319512428925566,2.0,0,0,1,0,29587.15621555021
-0.579994289607588,1.348910373438522,0.3479634065918699,0.4872084020374535,0.5583120028912116,1.0,1,0,0,0,39682.3068948207
1.5290817834610917,1.2255965208452793,0.456226504407884,0.6910534244006596,0.48714174939868904,1.0,0,0,1,0,34507.03518682777
-1.1643630463206925e-15,1.9698270104353583,0.37083784434245276,0.454024048603211,0.5534426731264099,0.0,0,0,0,1,35864.73517322599
-1.1643630463206925e-15,0.0,0.7076892349158541,0.7099653182887908,0.6309313417908622,2.0,0,0,1,0,33281.67566658902
0.2668631918361814,0.0,0.4149426264944063,0.4970495567170684,0.7173381374129258,1.0,0,0,1,0,29231.261562334013
-1.1643630463206925e-15,2.3458767126298214,0.5085814187971084,0.4487105286719424,0.47602307847814873,1.0,0,0,1,0,38670.68800700142
-2.1308492421606293,0.6516569126019999,0.5717738180522506,0.43004487305759265,0.4597032238528901,0.0,0,1,0,0,26526.691835958845
